Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021137928,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001420427404,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151931916,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377327251,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375635560,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021116699,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185558545,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001145817715,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001129209153,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737072,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375477848,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376335590,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375591473,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376836878,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000062157278,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375641575,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376305243,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021412983,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375637385,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307906,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151918151,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001576985795,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021577704,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021387323,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000573246662,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021109207,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377238612,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021219864,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022500760,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021389250,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940070563,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000023297977,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001128334674,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001129108005,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001146043083,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151918153,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307910,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021428755,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021393415,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001129983874,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736636,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940077798,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376989327,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736639,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021304766,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021560261,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375637388,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377327267,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185507476,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376540829,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375591285,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737080,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020851720,Cluster 0
